,title,description,resolution,log,log.1,log.2,log.3,log.4,log.5,log.6,log.7,log.8,log.9,log.10,log.11,log.12,log.13,log.14,log.15,log.16
73,title:Can I Override PHP Setting in htaccess When Using PHP-FPM?,"description:My vhost looks like this:

I'm trying to add php_value lines to my .htaccess file. As soon as I do, I get 500 errors, and this in my Apache's errors log:

So, the question: Is there any way to override php.ini settings via .htaccess, when using PHP-FPM?
tia.","
As others already pointed out, no, you can't override settings via .htaccess when using PHP-FPM.
But there seems to be a similar mechanism from PHP, named .user.ini files.

Since PHP 5.3.0, PHP includes support for configuration INI files on a per-directory basis. These files are processed only by the CGI/FastCGI SAPI. This functionality obsoletes the PECL htscanner extension. If you are using Apache, use .htaccess files for the same effect.
In addition to the main php.ini file, PHP scans for INI files in each directory, starting with the directory of the requested PHP file, and working its way up to the current document root (as set in $_SERVER['DOCUMENT_ROOT']). In case the PHP file is outside the document root, only its directory is scanned.
Only INI settings with the modes PHP_INI_PERDIR and PHP_INI_USER will be recognized in .user.ini-style INI files.

And in a comment below

""If you are using Apache, use .htaccess files for the same effect.""
To clarify, this applies only to Apache module mode. If you put php directives in .htaccess on an Apache CGI/FastCGI server, this will bomb the server out with a 500 error.

So you can create .user.ini files analogue to .htaccess, but in ini style format.
","/var/www/.htaccess: Invalid command 'php_value', perhaps misspelled or
  defined by a module not included in the server configuration",,,,,,,,,,,,,,,,
74,title:apacheDS unable to create new entry,"description:I'm using Apache Directory Studio 2.0.0 and ApacheDS 2.0. After creating a new partition o=SevenSeans,dc=com, as said in http://directory.apache.org/apacheds/basic-ug/1.4.3-adding-partition.html i'm trying to create a new entry. I select objectClass organizationalPerson and type parent o=SevenSeans,dc=com, RDN uid=Name. Then i click next and type value of cn and sn attributes. Now i click finish and have exception:

If i use import->LDIF and choose captain-hook-hierarchy.ldif 

How do I fix this? It's ok to create new entry if i choose top class.","
There are a number of issues with that tutorial(spelling, UI looks different, etc) but i have managed to import the sample data and add a new entry.
your error occurs for this reason: com contains more than one STRUCTURAL ObjectClass. this is occurring because domain and organizationalPerson are both structural and will not work together, try removing domain. For more info, see LDAP objectClasses
To import the captain-hook-hierarchy.ldif you need to create a new partition first. The tutorial is inconsistent with naming conventions and is the cause of your error. 
Create a new partition:
ID:SevenSeas
Suffix: o=sevenSeas

The error you get is because of the ,dc=com from the tutorial. if you open the .ldif you'll see there is no reference to ,dc=com.
Next uncheck the Auto-generate context entry from suffix DN checkbox. it doesnt create the appropriate attributes for the example. Then add these attributes:
o: sevenSeas
objectClass: top
objectClass: organization
description: The context entry for suffix o=sevenSeas

Save the config.ldif file and restart the server. Then import  captain-hook-hierarchy.ldif.
The directory should populate and to add new entries just right-click on a group and Add new entry.
Hope this helps!
","Error while importing LDIF
 - [LDAP: error code 32 - NO_SUCH_OBJECT: failed for MessageType : ADD_REQUES
javax.naming.NameNotFoundException: [LDAP: error code 32 - NO_SUCH_OBJECT: failed for MessageType : ADD_REQUEST
Message ID : 20
    Add Request :
Entry
    dn[n]: ou=people,o=sevenSeas
    objectclass: organizationalUnit
    objectclass: top
    ou: people
: ERR_268 Cannot find a partition for ou=people,o=sevenSeas]; remaining name 'ou=people,o=sevenSeas'
    at com.sun.jndi.ldap.LdapCtx.mapErrorCode(Unknown Source)
    at com.sun.jndi.ldap.LdapCtx.processReturnCode(Unknown Source)
    at com.sun.jndi.ldap.LdapCtx.processReturnCode(Unknown Source)
    at com.sun.jndi.ldap.LdapCtx.c_createSubcontext(Unknown Source)
    at com.sun.jndi.toolkit.ctx.ComponentDirContext.p_createSubcontext(Unknown Source)
    at com.sun.jndi.toolkit.ctx.PartialCompositeDirContext.createSubcontext(Unknown Source)
    at org.apache.directory.studio.connection.core.io.jndi.JNDIConnectionWrapper$4.run(JNDIConnectionWrapper.java:669)
    at org.apache.directory.studio.connection.core.io.jndi.JNDIConnectionWrapper.runAndMonitor(JNDIConnectionWrapper.java:1305)
    at org.apache.directory.studio.connection.core.io.jndi.JNDIConnectionWrapper.checkConnectionAndRunAndMonitor(JNDIConnectionWrapper.java:1237)
    at org.apache.directory.studio.connection.core.io.jndi.JNDIConnectionWrapper.createEntry(JNDIConnectionWrapper.java:722)
    at org.apache.directory.studio.ldapbrowser.core.jobs.ImportLdifRunnable.importLdifRecord(ImportLdifRunnable.java:464)
    at org.apache.directory.studio.ldapbrowser.core.jobs.ImportLdifRunnable.importLdif(ImportLdifRunnable.java:272)
    at org.apache.directory.studio.ldapbrowser.core.jobs.ImportLdifRunnable.run(ImportLdifRunnable.java:218)
    at org.apache.directory.studio.connection.core.jobs.StudioConnectionJob.run(StudioConnectionJob.java:109)
    at org.eclipse.core.internal.jobs.Worker.run(Worker.java:54)

[LDAP: error code 32 - NO_SUCH_OBJECT: failed for MessageType : ADD_REQUEST
Message ID : 20
    Add Request :
Entry
    dn[n]: ou=people,o=sevenSeas
    objectclass: organizationalUnit
    objectclass: top
    ou: people
: ERR_268 Cannot find a partition for ou=people,o=sevenSeas]",,,,,,,,,,,,,,,,
75,title:Bad Gateway 502 error with Apache mod_proxy and Tomcat,"description:We're running a web app on Tomcat 6 and Apache mod_proxy 2.2.3.  Seeing a lot of 502 errors like this:

Tomcat has plenty of threads, so it's not thread-constrained. We're pushing 2400 users via JMeter against the app.  All the boxes are sitting inside our firewall on a fast unloaded network, so there shouldn't be any network problems.  
Anyone have any suggestions for things to look at or try?  We're heading to tcpdump next.
UPDATE 10/21/08: Still haven't figured this out. Seeing only a very small number of these under load.  The answers below haven't provided any magical answers...yet. :)","
Just to add some specific settings, I had a similar setup (with Apache 2.0.63 reverse proxying onto Tomcat 5.0.27).
For certain URLs the Tomcat server could take perhaps 20 minutes to return a page.
I ended up modifying the following settings in the Apache configuration file to prevent it from timing out with its proxy operation (with a large over-spill factor in case Tomcat took longer to return a page):
Timeout 5400
ProxyTimeout 5400


Some backgound
ProxyTimeout alone wasn't enough. Looking at the documentation for Timeout I'm guessing (I'm not sure) that this is because while Apache is waiting for a response from Tomcat, there is no traffic flowing between Apache and the Browser (or whatever http client) - and so Apache closes down the connection to the browser.
I found that if I left the Timeout setting at its default (300 seconds), then if the proxied request to Tomcat took longer than 300 seconds to get a response the browser would display a ""502 Proxy Error"" page. I believe this message is generated by Apache, in the knowledge that it's acting as a reverse proxy, before it closes down the connection to the browser (this is my current understanding - it may be flawed).
The proxy error page says:

Proxy Error
The proxy server received an invalid
  response from an upstream server. The
  proxy server could not handle the
  request GET.
Reason: Error reading from remote server

...which suggests that it's the ProxyTimeout setting that's too short, while investigation shows that Apache's Timeout setting (timeout between Apache and the client) that also influences this.
","Bad Gateway!
  The proxy server received an invalid response from an upstream server.
The proxy server could not handle the request GET /the/page.do.
Reason: Error reading from remote server
If you think this is a server error, please contact the webmaster.
Error 502",,,,,,,,,,,,,,,,
79,title:Trigger 500 Internal Server Error in PHP and display Apache error page,"description:How can i trigger 500 Internal Server Error or 404 Page Not Found Apache errors in PHP?
For 500 Internal Server Error i have tried following code :

But it shows me a blank page.
How can i show the error in Apache's default format?
Please guide..","
You could just copy the Apache error documents into your web root (or symlink them in) and use header() to set the error codes and with those documents as output. That's probably best unless you have a compelling reason not to. But in case that won't work for you, there are some alternatives (albeit, hacky alternatives).
For 500, just put a bug in your code.
<?php throw new Exception('Nooooooooooooooo!'); ?>

The PHP script will raise an exception, resulting in a regular Apache 500 error page. (But be aware of the caveat that this will only result in an Apache error if the PHP init setting display_errors is set to 0. In most development configurations, this is not the case. In most production configurations, this is the case. If you don't know your production server's setting, you'll have to just test this to see if it works.)
For 404, I think the best you can do is redirect to a non-existent page. It's not exactly the same thing, but might do for your purposes.
<?php header(""Location: /i-dont-think-therefore-i-am-not""); ?>

In most browsers, the users won't actually see the redirect, they will just get silently and quickly redirected to a non-existent page, resulting in a regular Apache 404 error. Of course, the url will have changed and some users might notice that. If that's not acceptable, you can perhaps achieve similar results using Apache mod_rewrite to rewrite the url backend to a non-existent location.
To respond to several comments: Setting the response code via header() (or some other way) will not result in the standard Apache error document. It will simply return that response code with your own output. This is intentional behavior, designed so that you can have custom error documents, or otherwise set response codes as the HTTP spec dictates on any request. If you want the Apache error documents, you have to either forge them (as per my initial suggestion of simply copying the error documents to your web root), or you'll have to trick Apache into returning them (as per my backup suggestion).
","header(""HTTP/1.0 500 Internal Server Error"");",,,,,,,,,,,,,,,,
82,title:SVN Error when committing Access denied: 'foobar' MKACTIVITY MYREPO:,"description:I'm currently working with Apache and SVN with ActiveDirectory Authentication. The user is using TortoiseSVN client.
I should point out that I have 2 repos with same name and different mapping but redirected to the same ""user url"" since the permissions are the same for both repos.
eg 'http://mysrvr/svn/foo/bar/corge' and 'http://mysrvr/svn/foo/corge'
or 'http://mysrvr/svn/foo/bar/corge and' 'http://mysrvr/svn/foo/grault/corge'
This 2 repos thing is replicated with 8 ""repo pairs"" and the remaining 7 are working just fine.
Here is my error:

It's not permissions, since the user foobar has rw access and he has successfully checked out the repository. This error happens on commit.
Things that would help to orientate to a precise solve:

Other repo pairs are doing fine. And the permissions are the same.
My svn administrator user can do at the same local PC as the troubled user that commit.
UPPERCASE/lowercase URL isn't the problem, i've checked
NTLM and Active Directory aren't the problem either since he has access to the other repo with the same permission file.
Other users of the same repo are experimenting the same problem. While I can still do the commit at their local PCs. (just as if they had no writing permission)

Here are the Apache logs:
Apache error.log

Apache access.log

svn_activity.log

From the svn_activity.log I can deduce Apache catches and bounces the access, given that there is no foobar access at time-frame exposed previously.
So, hoping that the data i've collected is useful to solve this... any ideas?","
I've found it!
Ok here's the answer:
What was the problem:
My users check out a Repo in the directory /svn/myDir/MYREPO
Apache knows that he has to translate MYREPO to a lowercase directory so when you check out or do any read operation this was working just fine.
But when the users did try to do the commit operation Apache changes
somehow the order of the operations he has to do to fulfill the users request so, first accepts the write operation and tries to write, and then changes to lowercase.
Again, it tries to write to the /svn/myDir/MYREPO, the issue is that:

permissions to the repo where set to myrepo and not MYREPO
the actual repo is myrepo and not MYREPO

So... MYREPO does not exist! myrepo does. That's why it throws that error:

ACCESS DENIED because there is no permission written for MYREPO.
And It does recognize the repo in the read way because apache understands what you are asking for and translates.

But for writing first works with it and after that takes a moment to understand what is he doing. And the exception comes previous to the understanding so Apache never get's there.
How to solve it:
This is the simplest thing:

Go to the checked out Repo
Do a Relocate from http://YourServer/svn/myDir/MYREPO to http://YourServer/svn/myDir/myrepo

My recommendation:
My recommendation for svn-administrators and users from now on, is do
EVERITHING LOWERCASE... sorry, I correct myself:
everything lowercase!
","Commit failed(details follow):
access to
  '/svn/myDir/MYREPO/!svn/act/65bf494c-a66a-4f45-870e-d988f691a45d'
  forbidden
Finished!","[dd mm 12:38:02 2011] [error] [client
  10.x.x.x] Access denied: 'foobar' MKACTIVITY MYREPO:
[dd mm 12:39:40 2011] [error] [client
  10.x.x.x] Access denied: 'foobar' MKACTIVITY MYREPO:
[dd mm 12:39:54 2011] [error] [client
  10.x.x.x] Access denied: 'foobar' MKACTIVITY MYREPO:","10.x.x.x - foobar [dd/mmm/yy:12:38:02 GMT] ""OPTIONS /svn/myDir/MYREPO
  HTTP/1.1"" 200 198
10.x.x.x - foobar [dd/mmm/yy:12:38:02 GMT] ""PROPFIND /svn/myDir/MYREPO
  HTTP/1.1"" 207 667
10.x.x.x - foobar [dd/mmm/yy:12:38:02 GMT] ""MKACTIVITY
  /svn/myDir/MYREPO/!svn/act/65bf494c-a66a-4f45-870e-d988f691a45d
  HTTP/1.1"" 403 266","[dd/mmm/yy:12:34:20 -0300] waldo
  commit r2
[dd/mmm/yy:12:39:07 -0300] fred status
  /src/trunk r1447",,,,,,,,,,,,,
83,title:Configure Apache to send SSL Client certificate to backend server,"description:i want to configure Apache so that it receives a client certificate, an passes it to another server.
I'm using:

apache 2.0.65 on windows
the backend server is an apache-based solution (IBM HTTP Server)

I tried this config:

when i try this config, i have this error on the error.log file of apache:

any ideas?","
The client certificate is used in the SSL connection to verify the identity of the user. The verification is done with public key cryptography, e.g. the client signs something with its private key and the signature can be verified with the public key. And because the private key is only known to the client but the public key to everybody (it is included in the certificate), only the client can sign but everybody can verify the signature and thus it is proven that the signed text comes from the client. 
If you use the apache as a proxy which requests a client certificate it will receive the certificate which contains the client public key and it will be able to verify the signature of the client. But it has no access to the clients private key and thus it will not be able to create another https connection with the clients original certificate. All it can do is to verify the clients certificate and then forward the important information as HTTP headers to the upstream server. 
It looks like you attempt to put the information from the clients certificate inside HTTP header, but that your upstream server requires more, e.g. it requires the clients certificate which you cannot offer (error message: ""..downstream server wanted client certificate..""). Therefore you need to change the upstream server, so that it accepts connection without client certificate and reads the authorization information from the HTTP-Headers you've inserted in the proxy.
",[Tue Dec 31 12:14:52 2013] [warn] Proxy client certificate callback: (apacheserver.domain.com:443) downstream server wanted client certificate but none are configured,,,,,,,,,,,,,,,,
86,"title:Why does Apache complain that my mod_perl program ""disconnect invalidates 1 active statement handle""?","description:The following code which grabs data from MySQL gets executed successfully, but will cause Apache to generate the above message in its error log:


Will there be any dire consequences
by ignoring the said error/warning?
The code has been running for a week
without any ill effects. 
Is there anything wrong with the code
or is this just a harmless warning?

Edit
Code is executed via mod_perl.","
You should call $statement->finish(); before $db_handle->disconnnect();. 
Normally you don't need to call finish, unless you're not getting all the rows.  If you get all the results in a loop using fetchrow_array, you don't call finish at the end unless you aborted the loop.  
I'm not sure why the MySQL driver isn't finishing the statement after a fetchall_hashref.  The manual suggests that your query might be aborting due to an error:

If an error occurs, fetchall_hashref
  returns the data fetched thus far,
  which may be none. You should check
  $sth->err afterwards (or use the
  RaiseError attribute) to discover if
  the data is complete or was truncated
  due to an error.

","disconnect invalidates 1 active
  statement handle (either destroy
  statement handles or call finish on
  them before disconnecting)",,,,,,,,,,,,,,,,
87,title:installing php and apache on Amazon EC2 instances,"description:I am trying to install PHP on amazon ec2 instances but when I run the following command:
sudo yum -y install httpd php54-fpm php54-common 
it gives me the following errors:

Thanks in advance.","
Have you read the error message ? Read again:
Error: httpd24-tools conflicts with httpd-tools-2.2.25-1.0.amzn1.x86_64
Error: php54-common conflicts with php-common-5.3.27-1.0.amzn1.x86_64

You are trying to install HTTPD 2.4 when you appear to have HTTPD 2.2 installed and same thing with php, namely, you have PHP 5.3 installed and you are trying to install 5.4. A simple way to confirm this is to type in the following into bash:
php -v
httpd -V

If you want to install newer versions then remove the older versions. 
yum remove httpd-tools-2.2.25-1.0.amzn1.x86_64 php-common-5.3.27-1.0.amzn1.x86_64

","Loaded plugins: priorities, security, update-motd, upgrade-helper
    Setting up Install Process
    Resolving Dependencies
   --> Running transaction check
   ---> Package httpd.x86_64 0:2.2.25-1.0.amzn1 will be installed
   --> Processing Dependency: httpd-tools = 2.2.25-1.0.amzn1 for package: httpd-2.2.25-     1.0.amzn1.x86_64
   --> Processing Dependency: apr-util-ldap for package: httpd-2.2.25-1.0.amzn1.x86_64
   ---> Package php54-common.x86_64 0:5.4.17-2.41.amzn1 will be installed
   ---> Package php54-fpm.x86_64 0:5.4.17-2.41.amzn1 will be installed
    --> Running transaction check
  enter code here ---> Package apr-util-ldap.x86_64 0:1.4.1-4.14.amzn1 will be installed
   ---> Package httpd-tools.x86_64 0:2.2.25-1.0.amzn1 will be installed
--> Processing Conflict: httpd24-tools-2.4.6-2.47.amzn1.x86_64 conflicts httpd-tools < 2.4.6
--> Processing Conflict: php54-common-5.4.17-2.41.amzn1.x86_64 conflicts php-common < 5.4.17-2.41.amzn1
--> Finished Dependency Resolution
Error: httpd24-tools conflicts with httpd-tools-2.2.25-1.0.amzn1.x86_64
Error: php54-common conflicts with php-common-5.3.27-1.0.amzn1.x86_64
 You could try using --skip-broken to work around the problem
 You could try running: rpm -Va --nofiles --nodigest",,,,,,,,,,,,,,,,
89,title:MySQL/Apache Error in PHP MySQL query,"description:I am getting the following error:

When using the following code:

The connect.php file contains my MySQL connect calls that are working fine with my INSERT queries in another portion of the software.  If I comment out the $result = mysql_query line, then it goes through to the else statement.  So, it is that line or the content in the if.
I have been searching the net for any solutions, and most seem to be related to too many MySQL connections or that the user I am logging into MySQL as does not have permission.  I have checked both.  I can still perform my other queries elsewhere in the software, and I have verified that the account has the correct permissions.","

And if it matters at all, apache@localhost is not the name of the user account that I use to get into the database. I don't have any user accounts with the name apache in them at all for that matter.

If it is saying 'apache@localhost' the username is not getting passed correctly to the MySQL connection. 'apache' is normally the user that runs the httpd process (at least on Redhat-based systems) and if no username is passed during the connection MySQL uses whomever is calling for the connection.
If you do the connection right in your script, not in a called file, do you get the same error?
",Access denied for user 'apache'@'localhost' (using password: NO),,,,,,,,,,,,,,,,
93,title:- mongodb/mongodb 1.2.0 requires ext-mongodb ^1.3.0 -> the requested PHP extension mongodb is missing from your system,"description:On Debian Jessie, Apache2 --version ""0.91-ubuntu1"", PHP 5.6.30.
I have tried many the questions already answered when searching for the topic.
1) I did the manual install for MongoDB PHP Driver
http://php.net/manual/en/mongodb.installation.manual.php
2) To check if it works I created a file testMongo.php and added

3) Running testMongo.php in the browser yield that configuration file can be found in.

4) My mongo.so file can be located using the command

5) Output is:

6) In this file I added right after ""Dynamic Extensions""

7) I then went over to Composer and did the Command-line installation

8) Once Composer is installed I tried:

However this results in the following message:

Some fellows mentioned in a post that I could use --ignore-platform-reqs
It works!
When i run:

I get the following error:","
Composer is giving you the right answer there, you are using the wrong library.
Don't use --ignore-platform-reqs, or you can, which to force install it.
What you need to do now is check which library fits your php version. Write 

php --version

if you don't know which one you are using. Output should be something like:
PHP 5.6.30-0+deb8u1 (cli) (built: Feb  8 2017 09:49:20)
Copyright (c) 1997-2016 The PHP Group
Zend Engine v2.6.0, Copyright (c) 1998-2016 Zend Technologies
    with Zend OPcache v7.0.6-dev, Copyright (c) 1999-2016, by Zend Technologies

Find your version in the list below.
See the description in mongodb: PHP-Driver for mongodb

Head over to pecl and download whichever version fits your php version number. 
in your case (PHP5.6):
$ wget https://pecl.php.net/get/mongodb-1.2.11.tgz
$ tar -xvzf mongodb-1.2.11.tgz
$ cd mongodb-1.2.11/
$ phpize
$ ./configure
$ make all -j 5
$ sudo make install

now it should work.
You can test the php mongodb connection with this code (finding an ObjectId) :
<?php
# filename ConnectMongo.php
require_once __DIR__ . ""/vendor/autoload.php"";

ini_set('display_errors', 1);
ini_set('display_startup_errors', 1);
error_reporting(E_ALL);

// connect to mongodb
$manager = new MongoDB\Driver\Manager('mongodb://username:password@host');

$id = new \MongoDB\BSON\ObjectId(""5a0c8e2362eb6404c2f10032"");
$filter = ['_id' => $id];
$options = [];

$query = new \MongoDB\Driver\Query($filter, $options);
$rows   = $manager->executeQuery('db.collection', $query);
foreach ($rows as $document) {
    var_dump($document);
}
?>

In terminal write this to test the connection:

$ php ConnectMongo.php

Make sure that you also install using composer, you should not get that same error anymore. 
","Problem 1
   - mongodb/mongodb 1.2.0 requires ext-mongodb ^1.3.0 -> the requested PHP extension mongodb is missing from your system.
   - mongodb/mongodb 1.2.0 requires ext-mongodb ^1.3.0 -> the requested PHP extension mongodb is missing from your system.
   - mongodb/mongodb 1.2.0 requires ext-mongodb ^1.3.0 -> the requested PHP extension mongodb is missing from your system.
   - Installation request for mongodb/mongodb ^1.2 -> satisfiable by mongodb/mongodb[1.2.0].","PHP Fatal error:  Class 'MongoDB\Driver\Manager' 
not found in /var/www/vendor/mongodb/mongodb/src/Client.php on line 83",,,,,,,,,,,,,,,
96,title:Use .htaccess to set 404 error document located in the same folder,"description:So... i am trying to set the path to an error document located in the same directory as the .htaccess (located in the WEBSITE ""root"") like this:

However instead of showing the webpage...it just writes 404.php on the screen. I can't use absolute paths like:

Because i am not doing the website for me and i do not know the absolute path of the folder the website will be stored on... 
My question is: Can i set relative paths in the .htaccess document rather than absolute ones? (and if yes...how?)","
The URL-path in the argument of the ErrorDocument directive is always relative to the DocumentRoot. 
However, you can work around this using the mod_rewrite module. 
RewriteEngine on
#if requested resource isn't a file
# and isn't a directory
# then serve local error script 
RewriteCond %{REQUEST_FILENAME} !-f  
RewriteCond %{REQUEST_FILENAME} !-d  
RewriteRule .* 404.php [L] 

Make sure the 404.php does actually emit a 404 response header!
I haven't tested it, but this should get you started. Also note that using the ErrorDocument directive is always preferable to this, and asking where the site will reside relative to DocumentRoot would be sensible, so you'd be able to write
ErrorDocument 404 /path/to/my/site/404.php

",ErrorDocument 404 404.php,ErrorDocument 404 /404.php,,,,,,,,,,,,,,,
97,title:Run PHP code from .htaccess?,"description:Say I have a rewrite that needs to pass the url to a PHP function and retrieve a value in order to tell what the new destination should be?  is there a way to do that?
Thanks.
UPDATE:
Thanks so far guys..I am still having trouble but i'll show you my code:
.htaccess

PHP:

However I am getting a 500 Internal Server Error I am not sure if there is an error in my .htaccess or in my PHP?","
There is something called a RewriteMap.
You can call an executable script that will return the URL to rewrite to.
Check this article for more information and examples (in Perl, but are totally applicable to any other language):
http://www.onlamp.com/pub/a/apache/2005/04/28/apacheckbk.html
Summary of caveats:

Must run a read STDIN loop (ie, don't exit after receiving an URL)
Must print the URL to rewrite to WITH a trailing newline
Must be readable and executable by the user Apache runs as

This is the way to create the map
RewriteMap fixurl prg:/usr/local/scripts/fixit.php

And now we can use it in a RewriteRule:
RewriteEngine On
RewriteRule (.*) ${fixurl:$1} 

EDIT: About the Internal Server Error. The most probable cause is what Gumbo mentions, RewriteMap cannot be used in .htaccess, sadly. You can use it in a RewriteRule in .htaccess, but can only create it in server config or virtual host config. To be certain, check the error log.
So, the only PHP / .htaccess only solution would be to rewrite everything to a certain PHP program which does the checking and redirects using the Location header. Something like:
RewriteRule (.*) proxy.php?args=$1 [QSA]

Then, in proxy.php
<?php
      $url = get_proper_destination($QUERY_STRING); #args will have the URI path, 
                                                    #and, via QSA you will have
                                                    #the original query string
      header(""Location: $url"");
?>

","#I got the file path by echoing DOCUMENT_ROOT and added the rest.
RewriteMap fixurl prg:/var/www/vhosts/mydomain.com/httpsdocs/domain_prototype/code_base/url_handler.php

RewriteEngine On
RewriteRule (.*) ${fixurl:$1} [PT]",,,,,,,,,,,,,,,,
99,title:Symfony - name based virtual servers on localhost - is this possible?,"description:I am rapidly coming to the conclusion that this is not feasible, although for some reason, people - most likely who have not implemented the 'advice' they give, seem to think this is possible.
The scenario is quite straightforward. I am developing symfony websites on my local dev machine, running Ubuntu 10.0.4 LTS. I want to be able to run and test multiple sites locally.
Assuming I have the following sites:

site1.localhost
site2.localhost
site3.localhost

Following the documentation here, here and here (none of which work for me), I have done the following:
A. I modified my /etc/hosts file with the first entry to be:

B. I modified my /etc/apache2/ports.conf file (first lines) as follows:

C. I have created configuration sites for each of the websites (site1.localhost and site2.localhost). Each configuration is a separate file in /etc/apache2/sites-available
One such configuration file (for site1.localhost) in /etc/apache2/sites-available/site1 looks like this:

D. I have disabled the default apache site by using (it kept showing up instead)
E. Since I can't enable all the sites I enable to work (like the documentation links above 
purport), I have settled for enabling one site at a time, so that Apache dosen't get its confused as to which site to run. When I need to run another site, I disable the current one and enable the one I want to. This is (obviously?) far from ideal - but even this setup is not working - for the reasons listed below.
i). When I restart Apache, I get the following warning:

ii). when I navigate to http://site1.localhost
I get the following error message in FF:  

iii). My apache related errors are appearing in /var/log/apachche2/other_vosts.log

My questions are:

Can Apache be setup to handle multiple virtual hosts on localhost? Afterall, all examples I have seen so far involve setting Apache with public facing ip addresses
If Apache can indeed handle multiple sites on localhost, which of the steps above am I doing incorrectly?. AFAICT, I have followed the documentation to the letter.","
Yes, you can have several VirtualHosts, on your local machine -- It's exactly the same as when working on a remote server, except the IP address and domain-name are not the same.
What I generally do is :
Edit the hosts file
To add the new domain-names that I want served from my local computer.
For example, I would add :
127.0.0.1       tests
127.0.0.1       blog

And so on, with one line for each domain-name I want.

Add new VirtualHosts to Apache's configuration
Then, I add new VirtualHosts to Apache's configuration.
First site : tests
For example, for my tests domain-name, I would use :
<VirtualHost *:80>
        ServerName tests
        DocumentRoot /home/squale/developpement/tests
        <Directory /home/squale/developpement/tests>
                AllowOverride All
                Options Indexes FollowSymLinks MultiViews
                allow from all
        </Directory>
        ErrorLog /var/log/apache2/error.log
</VirtualHost>

A couple of things to note here :

The VirtualHost  is on *:80

So, it'll listen to any address

The mapping to the domain-name is made by the ServerName directive


Of course, up to you to make sure that this VirtualHost is seen by Apache -- either by placing it's configuration in a loaded file (not recommended), or by :

Placing that configuration in a new file in /etc/apache2/sites-available/
Using a2ensite to enable the site


Which will create a symbolic-link in /etc/apache2/sites-enabled/, pointing to your new configuration file.



Second site : blog
And here the configuration I'd use for a second domain-name, that correspond to blog :
<VirtualHost *:80>
        ServerName blog
        DocumentRoot /home/squale/developpement/blog.pascal-martin.fr/www
        <Directory /home/squale/developpement/blog.pascal-martin.fr/www>
                AllowOverride All
                Options Indexes FollowSymLinks MultiViews
                allow from all
        </Directory>
        ErrorLog /var/log/apache2/error.log
</VirtualHost>

It's basically exactly the same thing ; only two differences :

The ServerName directive correspond to my second domain-name -- of course
And the DocumentRoot is not the same


Other files ?
I don't really change anything else to Apache's default configuration (I'm on Ubuntu, if that matters).
For example, I don't change anything in the ports.conf file : I still have the default NameVirtualHost and Listen directives :
NameVirtualHost *:80
Listen 80

Only important modifications I do are to enable some modules, like rewrite, expires, ... But that's not much related to your VirtualHosts problem ;-)

Results ?
If I open my browser and go to http://tests/, I get the things I would expect from my tests domain -- a list of directories and files, here.
And if I open my browser and go to http://blog/, I get the development instance of my blog -- well, and error page, saying that I forgot to set up the database ^^
","Reloading web server config apache2
  [Sun Jul 18 10:32:23 2010] [warn]
  NameVirtualHost localhost:80 has no
  VirtualHosts",Oops! This link appears to be broken,,,,,,,,,,,,,,,
103,"title:Error ""The server sent an improper HTTP response."" on commit with Subversion 1.8+ client","description:Recently I have been plagued by an error on committing to a single SVN repo using TortoiseSVN (1.8.7.25475) or AnkhSVN (2.5.12471.17):

Here is a screenshot of the error in TortoiseSVN:

The pixels differ of course, but the error is the same in AnkhSVN.
This only seems to affect attempts to commit modifications, not additions or deletions; and I can commit mods to several other SVN repos on the same server just fine.
Since my teammates continue to commit mods to the repo in question and the issue has only struck my commits to that repo, I tried committing simple mods after a fresh checkout of the repo: a few one-mod-at-a-time commits worked, but then...same error.
I also searched for, reviewed, and tried some possible solutions (e.g. in a thread on the TortoiseSVN forums to which Stefan K闂佹椿浜滈妴 ?replied) - a registry tweak (deleting HKEY_CURRENT_USER\Software\Tigris.org - after exporting it for backup of course), checking my global properties, and ensuring that I am not using a proxy.  Same error.
Finally, I tried both repairing and downgrading TortoiseSVN.  Same error.
Has anyone else encountered this error under similar circumstances and found a solution to it?
Note that some related search results mention tweaking httpd.conf or other aspects of the SVN server, but server tweaks seem inappropriate to me.  Again, my teammates continue to commit mods to the same repo using the same version of TortoiseSVN, the same OS (Win 7 Pro 64-bit) etcetera.  Maybe I have missed something on the server that could just happen to affect me, though.","
Upgrade your Subversion client to the latest version.

Outdated answer:
ON THE CLIENT MACHINE! Open %APPDATA%\Subversion\servers in a text editor and add the line http-bulk-updates = yes, save the file and see if it helps.
If it helps, you'd better configure Apache HTTP Server's httpd.conf with SVNAllowBulkUpdates prefer directive so that all Subversion 1.8 clients could connect without any errors.
If there are more than just you who get this error in your organization and adjusting server's configuration is still unacceptable, you can change the setting http-bulk-updates = yes via Windows Registry so adjusting this on all affected machines can be done via AD Group Policy.
Read more info in Apache Subversion 1.8 Release Notes.
P.S.: faulty network hardware / firewall / antivirus is still the root cause here. The above is just a workaround to revert to the behavior of Subversion 1.7 and older client with neon network library. BTW, I guess that the installed antivirus is NOD32 or BitDefender.
",Error running context: The server sent an improper HTTP response,,,,,,,,,,,,,,,,
